question_id;question
1;How many genes and transcripts are on chromosome 3?
2;How many protein-coding genes are on chromosome 12?
3;How many lncRNA genes are on chromosome 7?
4;How many pseudogenes are on the X chromosome?
5;How many genes for miRNA exist in chromosome 10?
6;Calculate the sizes of each gene locus separately: XIST, MALAT1, BRCA1, COL1A2, NFKB1, NFKB2, REL, RELA and RELB.
7;How many transcript isoforms does the XIST gene have? Print the transcript isoform names (transcript_name) and the sizes of each.
8;How many exons does the XIST gene have?
9;How many exons does each transcript isoform of the BRCA1 gene have? Print the transcript isoform names (tr anscript_name) and the number of exons.
10;What is the average exon size of the BRCA1 transcript isoforms?
11;What is the chromosomal position of the BRCA1 gene?
12;On which chromosomes are the genes NFKB1, NFKB2, REL, RELA and RELB located?
13;Print the names of the 2 genes located immediately before and after the gene COL1A2, respectively.
14;What is the biotype of the following genes XIST, MALAT1, BRCA1,NFKB1, NFKB2, REL, RELA, RELB and COL1A2?
15;What strand are the HOTAIR, HOXC11, and HOXC12 genes located on?
16;Which genes are located between the HOXC11 and HOXC12 genes on + and - strands?
17;Get the following informations about each transcript isoforms of the XIST, MALAT1, BRCA1, NFKB1, COL1A2, HOTAIR, HOXC11, and HOXC12 genes: chromosomal location and position, size, number of exons, average exon size, strand, and biotype. Organize all the information in a table and save it.
18;Generate a scatterplot to represent the distribution of gene sizes in the X chromosome.
19;Generate a stacked barplot chart to represent the proportions of protein-coding, lncRNA and miRNA genes on each chromosome separately.
20;Generate a boxplot to represent the comparison of protein_coding, lncRNA, and miRNA transcript sizes.
