question_id;question;code
1;How many genes and transcripts are on chromosome 3?;"genes_chr3 = sum(1 for feature in db.features_of_type('gene') if feature.seqid == '3')
transcripts_chr3 = sum(1 for feature in db.features_of_type('transcript') if feature.seqid == '3')
print(f""Genes on chromosome 3: {genes_chr3}"")
print(f""Transcripts on chromosome 3: {transcripts_chr3}"")"
2;How many protein-coding genes are on chromosome 12?;"genes_12 = (feature for feature in db.features_of_type('gene')
if feature.seqid == '12' and feature.attributes.get('gene_biotype', [''])[0] == 'protein_coding')
gene_protein_coding_12 = sum(1 for _ in genes_12)
print(f""Number of protein-coding genes on chromosome 12: {gene_protein_coding_12}"")"
3;How many lncRNA genes are on chromosome 7?;"lncRNA_count = sum(1 for feature in db.features_of_type('gene')
if feature.seqid == '7' and feature.attributes.get('gene_biotype', [''])[0] == 'lncRNA')
print(f""Number of lncRNA genes on chromosome 7: {lncRNA_count}"")"
4;How many pseudogenes are on the X chromosome?;"pseudogene_counts = {}
total_pseudogenes = 0

for feature in db.features_of_type('gene'):
    if feature.seqid == 'X':
        gene_biotype = feature.attributes.get('gene_biotype', [''])[0]
        if gene_biotype.endswith('_pseudogene'):
            pseudogene_counts[gene_biotype] = pseudogene_counts.get(gene_biotype, 0) + 1
            total_pseudogenes += 1

print(""Pseudogene subtypes on the X chromosome:"")
for pseudogene_type in sorted(pseudogene_counts.keys()):
    count = pseudogene_counts[pseudogene_type]
    print(f""{pseudogene_type}: {count}"")

print(f""
Total number of pseudogenes on the X chromosome: {total_pseudogenes}"")"
5;How many genes for miRNA exist in chromosome 10?;"miRNA_count = sum(1 for feature in db.features_of_type('gene')
if feature.seqid == '10' and feature.attributes.get('gene_biotype', [''])[0] == 'miRNA')
print(f""Number of miRNA genes on chromosome 10: {miRNA_count}"")"
6;Calculate the sizes of each gene locus separately: XIST, MALAT1, BRCA1, COL1A2, NFKB1, NFKB2, REL, RELA and RELB.;"genes_list = [""XIST"", ""MALAT1"", ""BRCA1"", ""COL1A2"", ""NFKB1"", ""NFKB2"", ""REL"", ""RELA"", ""RELB""]
for gene_name in genes_list:
    genes = db.features_of_type('gene', order_by='start')
    gene_found = False
    for gene in genes:
        if gene_name in gene.attributes.get('gene_name', []):
            size = gene.end - gene.start + 1
            print(f""{gene_name} size: {size} bp"")
            gene_found = True
            break
    if not gene_found:
        print(f""Gene {gene_name} not found in the database"")"
7;How many transcript isoforms does the XIST gene have? Print the transcript isoform names (transcript_name) and the sizes of each.;"xist_transcripts = (feature for feature in db.features_of_type('transcript') if 'XIST' in feature.attributes.get('gene_name', []))
counts = 0

for transcript in xist_transcripts:
    counts = counts + 1
    print(f""Transcript name: {transcript.attributes['transcript_name'][0]}, Size: {transcript.end - transcript.start + 1} bp"")

print(f""

The XIST gene has {counts} transcript isoforms"" )"
8;How many exons does the XIST gene have?;"exons = (feature for feature in db.features_of_type('exon') if 'XIST' in feature.attributes.get('gene_name', []))
exon_set = set(exon.attributes['exon_id'][0] for exon in exons if 'exon_id' in exon.attributes)
print(len(exon_set))"
9;How many exons does each transcript isoform of the BRCA1 gene have? Print the transcript isoform names (tr anscript_name) and the number of exons.;"brca1_exon_counts = {}
for feature in db.features_of_type('exon'):
    gene_name = feature.attributes.get('gene_name', [''])[0]
    if gene_name == 'BRCA1':
        transcript_name = feature.attributes.get('transcript_name', [''])[0]
        brca1_exon_counts[transcript_name] = brca1_exon_counts.get(transcript_name, 0) + 1

for transcript_name, exon_count in brca1_exon_counts.items():
    print(f""{transcript_name}: {exon_count}"")"
10;What is the average exon size of the BRCA1 transcript isoforms?;"# Get all exons for BRCA1
brca1_exons = list(feature for feature in db.features_of_type('exon')
                   if 'BRCA1' in feature.attributes.get('gene_name', []))

# Calculate total exon size and count
total_exon_size = sum(feature.end - feature.start + 1 for feature in brca1_exons)
num_brca1_exons = len(brca1_exons)

# Calculate average exon size
if num_brca1_exons > 0:
    average_exon_size = total_exon_size / num_brca1_exons
    print(f""Average exon size of BRCA1 transcript isoforms: {average_exon_size:.2f} bp"")
else:
    print(""No exons found for BRCA1"")"
11;What is the chromosomal position of the BRCA1 gene?;"for feature in db.features_of_type('gene'):
    if 'BRCA1' in feature.attributes.get('gene_name', []):
        print(f""Chromosomal position of BRCA1: {feature.start}-{feature.end}"")
        break"
12;On which chromosomes are the genes NFKB1, NFKB2, REL, RELA and RELB located?;"target_genes = ['NFKB1', 'NFKB2', 'REL', 'RELA', 'RELB']

for feature in db.features_of_type('gene'):
    gene_name = feature.attributes.get('gene_name', [''])[0]
    if gene_name in target_genes:
        print(f""{gene_name}: chromosome {feature.seqid}"")"
13;Print the names of the 2 genes located immediately before and after the gene COL1A2, respectively.;"# Find the COL1A2 gene
col1a2 = next(filter(lambda x: x.attributes.get('gene_name', [''])[0] == 'COL1A2',
                     db.features_of_type('gene')))

# Get the chromosome and strand of COL1A2
chromosome = col1a2.seqid
strand = col1a2.strand

# Find the gene immediately before COL1A2
gene_before = next(filter(lambda x: x.seqid == chromosome and x.end < col1a2.start,
                          sorted(db.features_of_type('gene'), key=lambda x: -x.end)))

# Find the gene immediately after COL1A2
gene_after = next(filter(lambda x: x.seqid == chromosome and x.start > col1a2.end,
                         sorted(db.features_of_type('gene'), key=lambda x: x.start)))

# Function to get gene info
def get_gene_info(gene):
    gene_id = gene.attributes.get('gene_id', ['Unknown'])[0]
    gene_name = gene.attributes.get('gene_name', ['Unknown'])[0]
    return f""{gene_name} (ID: {gene_id})""

# Print the results
print(f""{get_gene_info(col1a2)}"")
print(f""Gene before COL1A2: {get_gene_info(gene_before)}"")
print(f""Gene after COL1A2: {get_gene_info(gene_after)}"")"
14;What is the biotype of the following genes XIST, MALAT1, BRCA1,NFKB1, NFKB2, REL, RELA, RELB and COL1A2?;"for gene_name in ['XIST', 'MALAT1', 'BRCA1', 'NFKB1', 'NFKB2', 'REL', 'RELA', 'RELB', 'COL1A2']:
    genes = db.features_of_type('gene')
    for gene in genes:
        if gene_name in gene.attributes.get('gene_name', []):
            biotype = gene.attributes.get('gene_biotype', [''])[0]
            print(f""{gene_name}: {biotype}"")"
15;What strand are the HOTAIR, HOXC11, and HOXC12 genes located on?;"for feature in db.features_of_type('gene'):
    if feature.attributes.get('gene_name', [''])[0] == 'HOTAIR':
        print(f""HOTAIR strand: {feature.strand}"")
    if feature.attributes.get('gene_name', [''])[0] == 'HOXC11':
        print(f""HOXC11 strand: {feature.strand}"")
    if feature.attributes.get('gene_name', [''])[0] == 'HOXC12':
        print(f""HOXC12 strand: {feature.strand}"")"
16;Which genes are located between the HOXC11 and HOXC12 genes on + and - strands?;"# Find HOXC11 and HOXC12 genes
hoxc11 = next(gene for gene in db.features_of_type('gene') if gene.attributes.get('gene_name', [''])[0] == 'HOXC11')
hoxc12 = next(gene for gene in db.features_of_type('gene') if gene.attributes.get('gene_name', [''])[0] == 'HOXC12')

# Determine the region between HOXC11 and HOXC12
start = min(hoxc11.start, hoxc12.start)
end = max(hoxc11.end, hoxc12.end)
chromosome = hoxc11.seqid  # Assuming both genes are on the same chromosome

# Find genes between HOXC11 and HOXC12
genes_between = []
for gene in db.features_of_type('gene'):
    if (gene.seqid == chromosome and
        start < gene.start < end and
        gene.id not in [hoxc11.id, hoxc12.id]):
        gene_id = gene.id
        gene_name = gene.attributes.get('gene_name', [''])[0]
        gene_strand = gene.strand
        genes_between.append((gene_id, gene_name, gene_strand))

# Print the results
print(""Genes between HOXC11 and HOXC12:"")
for gene_id, gene_name, gene_strand in genes_between:
    if gene_name:
        print(f""Gene ID: {gene_id}, Gene Name: {gene_name}, Strand: {gene_strand}"")
    else:
        print(f""Gene ID: {gene_id}, Strand: {gene_strand}"")"
17;Get the following informations about each transcript isoforms of the XIST, MALAT1, BRCA1, NFKB1, COL1A2, HOTAIR, HOXC11, and HOXC12 genes: chromosomal location and position, size, number of exons, average exon size, strand, and biotype. Organize all the information in a table and save it.;"transcript_data = []
gene_names = ['XIST', 'MALAT1', 'BRCA1', 'NFKB1', 'COL1A2', 'HOTAIR', 'HOXC11', 'HOXC12']

for gene_name in gene_names:
    # Find the gene
    genes = list(db.features_of_type('gene'))
    gene = next((g for g in genes if g.attributes.get('gene_name', [''])[0] == gene_name), None)

    if gene is None:
        print(f""Gene {gene_name} not found in the database."")
        continue

    # Get all transcripts for this gene
    for transcript in db.children(gene, featuretype='transcript'):
        # Get exons for this transcript
        exons = list(db.children(transcript, featuretype='exon'))
        num_exons = len(exons)

        if num_exons > 0:
            total_exon_size = sum(exon.end - exon.start + 1 for exon in exons)
            avg_exon_size = total_exon_size / num_exons
        else:
            avg_exon_size = 0

        transcript_data.append({
            'Transcript Name': transcript.attributes.get('transcript_name', [transcript.id])[0],
            'Transcript ID': transcript.id,
            'Chromosomal Location': transcript.seqid,
            'Position': f""{transcript.start} - {transcript.end}"",
            'Size': transcript.end - transcript.start + 1,
            'Number of Exons': num_exons,
            'Average Exon Size': round(avg_exon_size, 2),
            'Strand': transcript.strand,
            'Biotype': transcript.attributes.get('transcript_biotype', ['Unknown'])[0]
        })

df = pd.DataFrame(transcript_data)

# Display the DataFrame in the notebook
df"
